Latitude,Longitude
-36.5301474,142.901598
-36.509843,143.8078689
-37.2785109,144.2211719
-37.8704922,145.9517305
-38.0141505,143.0944477
-38.9105339,145.2039685
-36.6041607,143.74373630000002
-37.6743282,142.9388419
-38.4865504,146.03654709999998
-36.788923499999996,148.0482168
-38.2010276,147.40307109999998
-38.4750317,143.8228388
-37.4527171,143.47607240000002
-36.5836016,146.8925616
-38.1517945,142.8044857
-38.380674,144.02282
-38.4937691,147.69216919999997
-38.9602783,145.26077780000003
-38.9384414,143.4975787
-36.8644169,147.3947498
-37.3938875,147.33424319999997
-37.673899600000006,145.167614
-37.7040007,142.84802109999998
-38.796960399999996,144.400363
-36.9764084,147.30576969999998
-37.1316725,148.3481178
-36.5807363,147.2547035
-38.3039429,147.2805198
-38.9402917,146.39943449999998
-38.1625857,142.9639676
-37.309513700000004,148.33079980000002
-38.9889731,145.3001618
-36.62280429999999,142.9872224
-36.6696462,146.8270194
-36.6448225,148.3210891
-38.8638723,145.1665999
-38.0435829,145.5625862
-37.4527171,143.41496619999998
-37.736616600000005,148.24437969999997
-38.160781899999996,142.9734563
-37.716289,146.97769159999999
-37.3650287,148.4178618
-37.569092100000006,143.3474501
-38.9951448,147.0781892
-36.7094232,146.0666062
-38.67559979999999,146.52759790000002
-37.046296999999996,146.30987119999998
-38.292658,142.8129305
-37.3801559,146.29964760000001
-38.8010411,143.61237230000003
-37.5058682,142.84966269999998
-37.4643766,143.2974561
-37.587303000000006,143.80047119999998
-36.8693534,144.18944919999998
-37.3307303,144.75738069999997
-38.094865000000006,142.9180833
-38.9011299,142.97498430000002
-37.6803174,146.95682280000003
-37.424782799999996,144.3483991
-37.976450799999995,144.614649
-38.4665419,143.8731104
-38.6696736,144.79373930000003
-37.784879600000004,146.2781001
-38.1234318,145.48739019999996
-36.5876715,144.6653274
-38.599602000000004,145.00991000000002
-38.9012723,146.37304740000002
-36.850078700000005,144.2188288
-37.6836077,143.9035642
-36.585351200000005,143.953935
-36.667962599999996,148.43971580000002
-37.2121135,148.4335879
-38.2586249,146.87294630000002
-38.4835699,144.97054530000003
-37.139118700000004,148.3016853
-37.883091799999995,147.5788556
-38.1158268,143.7892616
-37.316846500000004,144.1373041
-38.5634308,144.8990452
-38.770801500000005,143.0491012
-37.026568499999996,143.1601675
-38.117196500000006,146.7555017
-38.5897274,144.95471809999998
-38.009761299999994,143.3502659
-37.3894078,148.3578323
-37.1849571,144.6644861
-36.6072367,147.12107
-37.112860600000005,143.720802
-38.3012217,145.92895080000002
-37.786299799999995,145.95561419999999
-38.6994294,143.0484216
-36.894384499999994,143.9725043
-37.0209223,143.9457957
-38.5266807,143.7565678
-38.11598660000001,144.6109114
-36.7233335,148.27302509999998
-36.791825700000004,144.0124801
-38.4258224,145.5339834
-36.556656200000006,143.892023
-36.8696836,147.96174140000002
-38.7453824,146.772651
-37.261071799999996,144.0946256
-37.8054897,146.5527971
-38.6030456,144.4570256
-38.6518984,146.6339526
-37.6354493,148.2201197
-38.6409995,147.78630959999998
-38.034323,143.36806049999998
-37.552862299999994,142.9393264
-36.9828314,143.166203
-38.764433700000005,146.7329711
-38.6023126,144.88508059999998
-36.812236799999994,147.9005034
-36.627755900000004,146.96435300000002
-37.4605925,143.4070517
-36.5863534,142.9252378
-37.000616799999996,144.04573190000002
-38.866693700000006,144.29779950000002
-38.9339136,146.2072667
-38.395878,147.43042169999998
-37.088640399999996,146.4469497
-38.2547383,148.4179629
-36.9999862,145.61463940000002
-38.6144011,146.53302240000002
-37.529646,143.4748486
-37.483631200000005,146.76328869999998
-36.6354811,145.9808831
-37.216481200000004,144.17968180000003
-38.8772625,146.9609784
-38.318864000000005,143.1303238
-37.9141299,143.26249719999998
-36.5897151,142.8311076
-38.1085274,146.7999435
-38.26677279999999,148.3419832
-37.3658377,146.9712275
-38.2050135,148.2567033
-38.1890117,146.76855590000002
-36.5721375,146.6512991
-38.07173710000001,144.8059604
-37.6206886,144.50617769999997
-38.4902917,147.808932
-38.7923245,146.6810727
-38.8442958,148.0944274
-37.956623799999996,143.6336693
-38.154370899999996,148.26112849999998
-38.9962561,145.4671963
-37.535179600000006,143.2262631
-38.1769624,142.9734563
-38.5442191,142.866573
-37.7070404,145.02194780000002
-38.1782079,147.4997335
-36.7249289,147.7653717
-38.9471342,146.87328380000002
-37.322466799999994,144.81026409999998
-37.8792096,146.546222
-36.8710916,144.0996525
-36.7969095,145.61385869999998
-37.884366299999996,146.37675919999998
-38.8800902,143.7318697
-38.841296299999996,147.0138871
-37.6275409,148.255019
-36.842516100000005,143.01926699999999
-37.7225378,146.96224530000003
-37.665259000000006,148.2878762
-36.6709167,147.2176914
-36.768175299999996,144.14084590000002
-36.5659489,144.6812564
-36.5880215,145.97054530000003
-36.8375073,145.5095992
-39.004472899999996,146.22024919999998
-38.7167823,147.79412680000002
-37.9863086,143.2938099
-37.653105700000005,142.88397849999998
-38.5867377,144.7352725
-37.3066271,147.361247
-38.4584088,143.88083590000002
-38.8579997,146.2616171
-37.670255700000006,146.9933141
-38.8066607,146.65312250000002
-38.0868677,144.6599708
-37.1393153,143.6633425
-36.586355100000006,145.99080930000002
-37.023492600000004,142.96889209999998
-36.70960720000001,146.746229
-36.8869522,147.573459
-36.752479,148.0072835
-38.7464962,144.356031
-37.0559271,143.1015956
-38.3377485,145.9769004
-38.9462255,145.6352561
-38.770801500000005,143.2739259
-38.8854349,144.57460600000002
-36.6883602,144.5909243
-36.5828391,144.9931916
-36.601083,147.899856
-37.541914,147.9994024
-38.7817453,144.4902571
-38.1219206,146.7159016
-36.6770246,144.7016622
-37.219758,145.65864119999998
-38.6528037,144.4730357
-37.7034712,146.4716982
-38.306574700000006,146.8286772
-38.8526348,147.25243319999998
-38.9256723,147.8280474
-38.0593713,144.5233371
-37.0249789,143.7346106
-37.475143100000004,146.8993278
-38.9564011,145.53580780000001
-37.0501855,143.1098753
-37.6550089,148.23297649999998
-38.9038298,146.36583280000002
-37.5594551,143.5050674
-38.6644487,147.6398305
-38.0472223,146.72133200000002
-36.6195124,144.4883356
-37.9198145,143.1032252
-36.8126947,145.57621890000001
-36.6593328,142.823975
-37.6968186,146.73871269999998
-38.2512075,146.7677129
-36.976530700000005,143.1714365
-38.9516685,147.0564399
-36.677914,143.74823480000003
-38.648552,148.1111202
-38.3105622,143.93868730000003
-38.5020979,143.9093028
-37.07994,146.4586605
-38.485668100000005,145.515856
-37.7096282,146.39184740000002
-37.7743606,146.8724493
-36.6504504,146.7150551
-37.689316999999996,148.2432656
-36.7025742,144.56948280000003
-38.5890901,144.7861691
-38.9561591,147.1957477
-37.2859468,145.63220159999997
-38.5281483,145.31318530000001
-38.588358500000005,147.6020044
-37.9633059,145.98282969999997
-38.6773293,142.83573669999998
-38.3910427,145.38247119999997
-37.815243,146.7799086
-37.1290384,148.3914581
-37.850927399999996,146.52739590000002
-36.9217024,145.42855749999998
-36.8393567,147.32272849999998
-38.5659179,148.05121469999997
-38.050071200000005,144.6156312
-38.536755799999995,144.9907894
-36.6822621,146.02182019999998
-36.58991210000001,142.9243969
-38.3101016,143.9323432
-38.242205,142.76978380000003
-38.8465417,146.3826556
-38.523249799999995,145.4599137
-37.6704565,144.35252649999998
-36.962138700000004,145.6639119
-37.9201321,143.68521299999998
-36.6292786,148.3462584
-38.7371084,143.1729254
-37.8835119,145.7691056
-38.4876616,143.2756947
-37.547012,143.2094769
-38.0021987,147.71396130000002
-38.630779600000004,144.4233829
-38.9084948,146.513597
-36.5879544,146.9242207
-38.8777375,148.1676194
-36.7764276,147.54476369999998
-37.3770296,144.32561280000002
-38.8581054,145.5440149
-38.1914566,146.82739740000002
-38.230786,147.2744785
-38.969713299999995,145.7067
-37.614821500000005,148.16452180000002
-38.997941,145.6431649
-37.378923799999995,145.7128499
-36.545435299999994,142.8654985
-36.5319346,145.1171394
-37.8721661,146.8421892
-37.4677479,142.81717690000002
-36.6919859,147.7763056
-36.941919399999996,147.46015390000002
-37.9930765,145.2343251
-37.0730035,143.6840419
-37.73753370000001,143.8456296
-38.74140560000001,146.838176
-37.432340100000005,146.06553469999997
-36.8424498,147.81799669999998
-38.828201899999996,144.99501419999999
-38.8004384,143.55644709999999
-36.873222399999996,143.0173803
-37.9006491,147.71512869999998
-38.80414520000001,143.6020375
-37.8473424,146.7092501
-37.1316725,148.44671
-37.62502979999999,145.2333335
-38.7502732,144.4074204
-37.046,145.58407659999997
-37.6101088,145.21800530000002
-38.1890718,142.7998968
-38.8665883,144.941385
-37.8773812,145.45448480000002
-36.9410935,142.95856659999998
-38.8047617,147.9739515
-38.7803336,147.94386619999997
-37.649730100000006,143.67627240000002
-38.458944,146.1455991
-38.2050135,148.2567033
-36.6750908,143.7885452
-36.61321470000001,147.1996693
-37.068580499999996,143.8392501
-37.2961851,146.9275755
-37.3513282,144.234405
-36.5370666,144.5370024
-38.087435799999994,147.7614956
-38.52567929999999,146.7286436
-38.8373657,143.2744449
-37.3040041,148.40807890000002
-38.0600029,148.31335380000002
-38.8721594,145.6932103
-37.3772322,143.1970355
-38.016507,143.9765705
-37.0156662,146.38366409999998
-37.4986488,143.3980783
-38.3923904,147.3330726
-38.2562809,148.4336199
-36.7223809,147.96174140000002
-38.9882717,145.4623185
-37.014218400000004,144.1621541
-37.963087,144.7813909
-38.0643499,145.2682702
-37.3098376,144.276456
-38.7517401,142.9948116
